      7200 <= x <=       7230 ; y = -1860.0000 +     0.2667 x ; interpolation
      7230 <= x <=       7260 ; y = -2342.0000 +     0.3333 x ; interpolation
      7260 <= x <=       7290 ; y =  2014.0000 +    -0.2667 x ; interpolation
      7290 <= x <=       7320 ; y =  2014.0000 +    -0.2667 x ; interpolation
      7320 <= x <=       7350 ; y = -1402.0000 +     0.2000 x ; interpolation
      7350 <= x <=       7380 ; y = -1402.0000 +     0.2000 x ; interpolation
      7380 <= x <=       7410 ; y =  1304.0000 +    -0.1667 x ; interpolation
      7410 <= x <=       7440 ; y =  2292.0000 +    -0.3000 x ; interpolation
      7440 <= x <=       7470 ; y =  2788.0000 +    -0.3667 x ; interpolation
      7470 <= x <=       7500 ; y = -7421.0000 +     1.0000 x ; interpolation
      7500 <= x <=       7530 ; y =  4079.0000 +    -0.5333 x ; interpolation
      7530 <= x <=       7560 ; y =   314.0000 +    -0.0333 x ; interpolation
      7560 <= x <=       7590 ; y = -4474.0000 +     0.6000 x ; interpolation
      7590 <= x <=       7620 ; y =   586.0000 +    -0.0667 x ; interpolation
      7620 <= x <=       7650 ; y =  4396.0000 +    -0.5667 x ; interpolation
      7650 <= x <=       7680 ; y =  -449.0000 +     0.0667 x ; interpolation
      7680 <= x <=       7710 ; y = -3009.0000 +     0.4000 x ; interpolation
      7710 <= x <=       7740 ; y =  -953.0000 +     0.1333 x ; interpolation
      7740 <= x <=       7770 ; y =  4723.0000 +    -0.6000 x ; interpolation
      7770 <= x <=       7800 ; y =  -198.0000 +     0.0333 x ; interpolation
      7800 <= x <=       7830 ; y = -4618.0000 +     0.6000 x ; interpolation
      7830 <= x <=       7860 ; y =  1124.0000 +    -0.1333 x ; interpolation
      7860 <= x <=       7890 ; y =  4006.0000 +    -0.5000 x ; interpolation
      7890 <= x <=       7920 ; y =    61.0000 +     0.0000 x ; interpolation
      7920 <= x <=       7950 ; y = -4691.0000 +     0.6000 x ; interpolation
      7950 <= x <=       7980 ; y =  1139.0000 +    -0.1333 x ; interpolation
      7980 <= x <=       8010 ; y =  4331.0000 +    -0.5333 x ; interpolation
      8010 <= x <=       8040 ; y = -1276.0000 +     0.1667 x ; interpolation
      8040 <= x <=       8070 ; y = -3956.0000 +     0.5000 x ; interpolation
      8070 <= x <=       8100 ; y =   348.0000 +    -0.0333 x ; interpolation
      8100 <= x <=       8130 ; y =  5478.0000 +    -0.6667 x ; interpolation
      8130 <= x <=       8160 ; y =   329.0000 +    -0.0333 x ; interpolation
      8160 <= x <=       8190 ; y = -5655.0000 +     0.7000 x ; interpolation
      8190 <= x <=       8220 ; y =    78.0000 +     0.0000 x ; interpolation
      8220 <= x <=       8250 ; y =  5010.0000 +    -0.6000 x ; interpolation
      8250 <= x <=       8280 ; y =  -490.0000 +     0.0667 x ; interpolation
      8280 <= x <=       8310 ; y = -5458.0000 +     0.6667 x ; interpolation
      8310 <= x <=       8340 ; y =   359.0000 +    -0.0333 x ; interpolation
      8340 <= x <=       8370 ; y =  5641.0000 +    -0.6667 x ; interpolation
      8370 <= x <=       8400 ; y =   619.0000 +    -0.0667 x ; interpolation
      8400 <= x <=       8430 ; y = -3861.0000 +     0.4667 x ; interpolation
      8430 <= x <=       8460 ; y =  2883.0000 +    -0.3333 x ; interpolation
      8460 <= x <=       8490 ; y = -4731.0000 +     0.5667 x ; interpolation
      8490 <= x <=       8520 ; y =  1778.0000 +    -0.2000 x ; interpolation
      8520 <= x <=       8550 ; y =  4050.0000 +    -0.4667 x ; interpolation
      8550 <= x <=       8580 ; y =  -795.0000 +     0.1000 x ; interpolation
      8580 <= x <=       8610 ; y = -4799.0000 +     0.5667 x ; interpolation
      8610 <= x <=       8640 ; y =  4959.0000 +    -0.5667 x ; interpolation
